epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,24589.4,0.8468,0.69279,0.01359,0.79404,0.75881,0.72043,0.63372,0.83462,1.55854,0.01419,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25057.1,0.85037,0.6931,0.01354,0.79225,0.76177,0.72116,0.63413,0.83397,1.55277,0.01416,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25525,0.84501,0.68365,0.01351,0.7918,0.762,0.72137,0.63432,0.83299,1.55661,0.01415,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,25993.9,0.83544,0.67946,0.01338,0.80376,0.75412,0.72243,0.63544,0.83162,1.53945,0.01415,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26463,0.83385,0.67065,0.01332,0.80384,0.75312,0.72235,0.63521,0.83243,1.52734,0.01417,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,26931.4,0.83113,0.66946,0.01328,0.80392,0.75417,0.7233,0.63621,0.8303,1.51536,0.01418,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27401.1,0.83054,0.66627,0.01323,0.79894,0.75689,0.7226,0.6363,0.82888,1.52051,0.01417,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,27872.8,0.82899,0.66235,0.01322,0.80147,0.75928,0.72267,0.63579,0.83333,1.51115,0.01429,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,28489.9,0.82486,0.65707,0.01317,0.80753,0.75461,0.72281,0.63669,0.83187,1.50391,0.01427,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,28980.8,0.82084,0.64723,0.01311,0.80567,0.75453,0.72441,0.63774,0.83101,1.49237,0.01425,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
